model,epoch,total_epoch,unix_time,iso_time
deeponet,46,50000,1788026341,2026-08-30T02:59:01+09:00
deeponet,230,50000,1788026401,2026-08-30T03:00:01+09:00
deeponet,406,50000,1788026461,2026-08-30T03:01:01+09:00
deeponet,637,50000,1788026521,2026-08-30T03:02:01+09:00
deeponet,896,50000,1788026581,2026-08-30T03:03:01+09:00
deeponet,1151,50000,1788026641,2026-08-30T03:04:01+09:00
deeponet,1339,50000,1788026701,2026-08-30T03:05:01+09:00
deeponet,1558,50000,1788026761,2026-08-30T03:06:01+09:00
deeponet,1749,50000,1788026821,2026-08-30T03:07:01+09:00
deeponet,1969,50000,1788026882,2026-08-30T03:08:02+09:00
deeponet,2246,50000,1788026942,2026-08-30T03:09:02+09:00
deeponet,2520,50000,1788027002,2026-08-30T03:10:02+09:00
deeponet,2783,50000,1788027062,2026-08-30T03:11:02+09:00
deeponet,3001,50000,1788027122,2026-08-30T03:12:02+09:00
deeponet,3229,50000,1788027182,2026-08-30T03:13:02+09:00
deeponet,3461,50000,1788027242,2026-08-30T03:14:02+09:00
deeponet,3649,50000,1788027302,2026-08-30T03:15:02+09:00
deeponet,3859,50000,1788027362,2026-08-30T03:16:02+09:00
deeponet,4071,50000,1788027422,2026-08-30T03:17:02+09:00
deeponet,4329,50000,1788027483,2026-08-30T03:18:03+09:00
deeponet,4560,50000,1788027543,2026-08-30T03:19:03+09:00
deeponet,4760,50000,1788027603,2026-08-30T03:20:03+09:00
deeponet,5008,50000,1788027663,2026-08-30T03:21:03+09:00
deeponet,5161,50000,1788027723,2026-08-30T03:22:03+09:00
deeponet,5298,50000,1788027783,2026-08-30T03:23:03+09:00
deeponet,5460,50000,1788027843,2026-08-30T03:24:03+09:00
deeponet,5680,50000,1788027903,2026-08-30T03:25:03+09:00
deeponet,5969,50000,1788027963,2026-08-30T03:26:03+09:00
deeponet,6237,50000,1788028024,2026-08-30T03:27:04+09:00
deeponet,6485,50000,1788028084,2026-08-30T03:28:04+09:00
deeponet,6679,50000,1788028144,2026-08-30T03:29:04+09:00
deeponet,6882,50000,1788028204,2026-08-30T03:30:04+09:00
deeponet,7053,50000,1788028264,2026-08-30T03:31:04+09:00
deeponet,7254,50000,1788028324,2026-08-30T03:32:04+09:00
deeponet,7480,50000,1788028384,2026-08-30T03:33:04+09:00
deeponet,7729,50000,1788028445,2026-08-30T03:34:05+09:00
deeponet,7954,50000,1788028505,2026-08-30T03:35:05+09:00
deeponet,8149,50000,1788028565,2026-08-30T03:36:05+09:00
deeponet,8307,50000,1788028625,2026-08-30T03:37:05+09:00
deeponet,8481,50000,1788028685,2026-08-30T03:38:05+09:00
deeponet,8660,50000,1788028746,2026-08-30T03:39:06+09:00
deeponet,8846,50000,1788028806,2026-08-30T03:40:06+09:00
deeponet,8978,50000,1788028866,2026-08-30T03:41:06+09:00
deeponet,9107,50000,1788028926,2026-08-30T03:42:06+09:00
deeponet,9248,50000,1788028986,2026-08-30T03:43:06+09:00
deeponet,9410,50000,1788029046,2026-08-30T03:44:06+09:00
deeponet,9615,50000,1788029107,2026-08-30T03:45:07+09:00
deeponet,9886,50000,1788029167,2026-08-30T03:46:07+09:00
deeponet,10098,50000,1788029227,2026-08-30T03:47:07+09:00
deeponet,10277,50000,1788029287,2026-08-30T03:48:07+09:00
deeponet,10463,50000,1788029348,2026-08-30T03:49:08+09:00
deeponet,10651,50000,1788029408,2026-08-30T03:50:08+09:00
deeponet,10815,50000,1788029468,2026-08-30T03:51:08+09:00
deeponet,11022,50000,1788029528,2026-08-30T03:52:08+09:00
deeponet,11231,50000,1788029588,2026-08-30T03:53:08+09:00
deeponet,11455,50000,1788029649,2026-08-30T03:54:09+09:00
deeponet,11654,50000,1788029709,2026-08-30T03:55:09+09:00
deeponet,11887,50000,1788029769,2026-08-30T03:56:09+09:00
deeponet,12139,50000,1788029829,2026-08-30T03:57:09+09:00
deeponet,12528,50000,1788029890,2026-08-30T03:58:10+09:00
deeponet,12920,50000,1788029950,2026-08-30T03:59:10+09:00
deeponet,13276,50000,1788030010,2026-08-30T04:00:10+09:00
deeponet,13575,50000,1788030070,2026-08-30T04:01:10+09:00
deeponet,13887,50000,1788030130,2026-08-30T04:02:10+09:00
deeponet,14173,50000,1788030191,2026-08-30T04:03:11+09:00
deeponet,14391,50000,1788030251,2026-08-30T04:04:11+09:00
deeponet,14598,50000,1788030311,2026-08-30T04:05:11+09:00
deeponet,14885,50000,1788030372,2026-08-30T04:06:12+09:00
deeponet,15185,50000,1788030432,2026-08-30T04:07:12+09:00
deeponet,15436,50000,1788030492,2026-08-30T04:08:12+09:00
deeponet,15676,50000,1788030552,2026-08-30T04:09:12+09:00
deeponet,15924,50000,1788030613,2026-08-30T04:10:13+09:00
deeponet,16179,50000,1788030673,2026-08-30T04:11:13+09:00
deeponet,16442,50000,1788030733,2026-08-30T04:12:13+09:00
deeponet,16695,50000,1788030794,2026-08-30T04:13:14+09:00
deeponet,16957,50000,1788030854,2026-08-30T04:14:14+09:00
deeponet,17244,50000,1788030914,2026-08-30T04:15:14+09:00
deeponet,17516,50000,1788030974,2026-08-30T04:16:14+09:00
deeponet,17712,50000,1788031035,2026-08-30T04:17:15+09:00
deeponet,17947,50000,1788031095,2026-08-30T04:18:15+09:00
deeponet,18248,50000,1788031155,2026-08-30T04:19:15+09:00
deeponet,18536,50000,1788031216,2026-08-30T04:20:16+09:00
deeponet,18846,50000,1788031276,2026-08-30T04:21:16+09:00
deeponet,19171,50000,1788031336,2026-08-30T04:22:16+09:00
deeponet,19513,50000,1788031397,2026-08-30T04:23:17+09:00
deeponet,19822,50000,1788031457,2026-08-30T04:24:17+09:00
deeponet,20095,50000,1788031518,2026-08-30T04:25:18+09:00
deeponet,20369,50000,1788031578,2026-08-30T04:26:18+09:00
deeponet,20684,50000,1788031638,2026-08-30T04:27:18+09:00
deeponet,20964,50000,1788031699,2026-08-30T04:28:19+09:00
deeponet,21189,50000,1788031759,2026-08-30T04:29:19+09:00
deeponet,21513,50000,1788031819,2026-08-30T04:30:19+09:00
deeponet,21773,50000,1788031879,2026-08-30T04:31:19+09:00
deeponet,21990,50000,1788031940,2026-08-30T04:32:20+09:00
deeponet,22221,50000,1788032000,2026-08-30T04:33:20+09:00
deeponet,22430,50000,1788032061,2026-08-30T04:34:21+09:00
deeponet,22590,50000,1788032121,2026-08-30T04:35:21+09:00
deeponet,22766,50000,1788032182,2026-08-30T04:36:22+09:00
deeponet,22968,50000,1788032242,2026-08-30T04:37:22+09:00
deeponet,23235,50000,1788032302,2026-08-30T04:38:22+09:00
deeponet,23579,50000,1788032363,2026-08-30T04:39:23+09:00
deeponet,23980,50000,1788032423,2026-08-30T04:40:23+09:00
deeponet,24355,50000,1788032483,2026-08-30T04:41:23+09:00
deeponet,24761,50000,1788032544,2026-08-30T04:42:24+09:00
deeponet,25151,50000,1788032604,2026-08-30T04:43:24+09:00
deeponet,25546,50000,1788032665,2026-08-30T04:44:25+09:00
deeponet,25897,50000,1788032725,2026-08-30T04:45:25+09:00
deeponet,26282,50000,1788032785,2026-08-30T04:46:25+09:00
deeponet,26666,50000,1788032846,2026-08-30T04:47:26+09:00
deeponet,27063,50000,1788032906,2026-08-30T04:48:26+09:00
deeponet,27434,50000,1788032967,2026-08-30T04:49:27+09:00
deeponet,27808,50000,1788033027,2026-08-30T04:50:27+09:00
deeponet,28205,50000,1788033088,2026-08-30T04:51:28+09:00
deeponet,28581,50000,1788033148,2026-08-30T04:52:28+09:00
deeponet,28971,50000,1788033208,2026-08-30T04:53:28+09:00
deeponet,29335,50000,1788033269,2026-08-30T04:54:29+09:00
deeponet,29719,50000,1788033329,2026-08-30T04:55:29+09:00
deeponet,30102,50000,1788033390,2026-08-30T04:56:30+09:00
deeponet,30451,50000,1788033450,2026-08-30T04:57:30+09:00
deeponet,30814,50000,1788033511,2026-08-30T04:58:31+09:00
deeponet,31144,50000,1788033571,2026-08-30T04:59:31+09:00
deeponet,31515,50000,1788033632,2026-08-30T05:00:32+09:00
deeponet,31870,50000,1788033692,2026-08-30T05:01:32+09:00
deeponet,32256,50000,1788033753,2026-08-30T05:02:33+09:00
deeponet,32635,50000,1788033813,2026-08-30T05:03:33+09:00
deeponet,32982,50000,1788033873,2026-08-30T05:04:33+09:00
deeponet,33388,50000,1788033934,2026-08-30T05:05:34+09:00
deeponet,33742,50000,1788033994,2026-08-30T05:06:34+09:00
deeponet,34131,50000,1788034055,2026-08-30T05:07:35+09:00
deeponet,34487,50000,1788034115,2026-08-30T05:08:35+09:00
deeponet,34892,50000,1788034176,2026-08-30T05:09:36+09:00
deeponet,35249,50000,1788034236,2026-08-30T05:10:36+09:00
deeponet,35625,50000,1788034297,2026-08-30T05:11:37+09:00
deeponet,36014,50000,1788034357,2026-08-30T05:12:37+09:00
deeponet,36388,50000,1788034418,2026-08-30T05:13:38+09:00
deeponet,36769,50000,1788034479,2026-08-30T05:14:39+09:00
deeponet,37125,50000,1788034539,2026-08-30T05:15:39+09:00
deeponet,37462,50000,1788034600,2026-08-30T05:16:40+09:00
deeponet,37828,50000,1788034660,2026-08-30T05:17:40+09:00
deeponet,38158,50000,1788034721,2026-08-30T05:18:41+09:00
deeponet,38527,50000,1788034781,2026-08-30T05:19:41+09:00
deeponet,38906,50000,1788034842,2026-08-30T05:20:42+09:00
deeponet,39314,50000,1788034902,2026-08-30T05:21:42+09:00
deeponet,39709,50000,1788034963,2026-08-30T05:22:43+09:00
deeponet,40108,50000,1788035024,2026-08-30T05:23:44+09:00
deeponet,40475,50000,1788035084,2026-08-30T05:24:44+09:00
deeponet,40857,50000,1788035145,2026-08-30T05:25:45+09:00
deeponet,41246,50000,1788035205,2026-08-30T05:26:45+09:00
deeponet,41635,50000,1788035266,2026-08-30T05:27:46+09:00
deeponet,42073,50000,1788035327,2026-08-30T05:28:47+09:00
deeponet,42478,50000,1788035387,2026-08-30T05:29:47+09:00
deeponet,42875,50000,1788035448,2026-08-30T05:30:48+09:00
deeponet,43241,50000,1788035509,2026-08-30T05:31:49+09:00
